
# DSID  events  xsec[pb]*kfac*filter    lumi            name
# ------------------------------------------------------------
301098 	50000 	6.1624e-08*1.0*1.0 	811372192.65 	mc15_13TeV.301098.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_5000M.merge.AOD.e3663_s2608_s2183_r6869_r6282

301100 	499400 	32.053*1.0*1.0 		15.58 		mc15_13TeV.301100.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_120M180.merge.AOD.e3663_s2608_s2183_r6869_r6282
301101 	249400 	5.0029*1.0*1.0 		49.85 		mc15_13TeV.301101.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_180M250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301102 	150000 	1.7543*1.0*1.0 		85.50 		mc15_13TeV.301102.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_250M400.merge.AOD.e3663_s2608_s2183_r6869_r6282
301103 	100000 	0.31235*1.0*1.0 	320.15 		mc15_13TeV.301103.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_400M600.merge.AOD.e3663_s2608_s2183_r6869_r6282
301104 	49800 	0.060793*1.0*1.0 	819.17 		mc15_13TeV.301104.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_600M800.merge.AOD.e3663_s2608_s2183_r6869_r6282
301105 	50000 	0.017668*1.0*1.0 	2829.98 	mc15_13TeV.301105.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_800M1000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301106 	50000 	0.0072895*1.0*1.0 	6859.18 	mc15_13TeV.301106.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_1000M1250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301107 	50000 	0.0025071*1.0*1.0 	19943.36 	mc15_13TeV.301107.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_1250M1500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301108 	49800 	0.00098628*1.0*1.0 	50492.76 	mc15_13TeV.301108.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_1500M1750.merge.AOD.e3663_s2608_s2183_r6869_r6282
301109 	50000 	0.00042457*1.0*1.0 	117766.21 	mc15_13TeV.301109.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_1750M2000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301110 	50000 	0.00019463*1.0*1.0 	256897.70 	mc15_13TeV.301110.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_2000M2250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301111 	50000 	9.3349e-05*1.0*1.0 	535624.38 	mc15_13TeV.301111.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_2250M2500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301112 	50000 	4.6259e-05*1.0*1.0 	1080870.75 	mc15_13TeV.301112.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_2500M2750.merge.AOD.e3663_s2608_s2183_r6869_r6282
301113 	49800 	2.3476e-05*1.0*1.0 	2121315.39 	mc15_13TeV.301113.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_2750M3000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301114 	50000 	1.845e-05*1.0*1.0 	2710027.10 	mc15_13TeV.301114.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_3000M3500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301115 	50000 	5.0968e-06*1.0*1.0 	9810076.91 	mc15_13TeV.301115.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_3500M4000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301116 	50000 	1.4307e-06*1.0*1.0 	34947927.59 	mc15_13TeV.301116.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusmunu_4000M4500.merge.AOD.e3663_s2608_s2183_r6869_r6282
